CMDLINE /usr/bin/python3 test.py
MEM 3.605469 1627511537.6123
MEM 19.015625 1627511537.7128
MEM 29.320312 1627511537.8132
MEM 37.003906 1627511537.9136
MEM 44.253906 1627511538.0140
MEM 54.437500 1627511538.1144
MEM 55.007812 1627511538.2147
MEM 55.007812 1627511538.3150
MEM 55.007812 1627511538.4154
MEM 55.007812 1627511538.5157
MEM 55.007812 1627511538.6161
MEM 55.007812 1627511538.7165
MEM 55.007812 1627511538.8169
MEM 55.007812 1627511538.9172
MEM 55.007812 1627511539.0176
MEM 55.007812 1627511539.1179
MEM 55.007812 1627511539.2182
MEM 55.007812 1627511539.3185
MEM 55.007812 1627511539.4189
MEM 55.007812 1627511539.5193
MEM 55.007812 1627511539.6196
MEM 55.007812 1627511539.7200
MEM 55.007812 1627511539.8203
MEM 55.007812 1627511539.9206
MEM 55.007812 1627511540.0210
MEM 55.007812 1627511540.1213
MEM 55.007812 1627511540.2216
MEM 55.007812 1627511540.3220
MEM 55.007812 1627511540.4223
MEM 55.007812 1627511540.5226
MEM 55.007812 1627511540.6230
MEM 55.007812 1627511540.7233
MEM 55.007812 1627511540.8236
MEM 55.007812 1627511540.9239
MEM 56.148438 1627511541.0242
MEM 56.148438 1627511541.1245
MEM 55.472656 1627511541.2249
MEM 55.472656 1627511541.3252
MEM 55.472656 1627511541.4255
MEM 55.472656 1627511541.5259
MEM 55.472656 1627511541.6262
MEM 55.472656 1627511541.7265
MEM 55.472656 1627511541.8269
MEM 55.472656 1627511541.9272
MEM 55.472656 1627511542.0275
MEM 56.242188 1627511542.1279
MEM 56.242188 1627511542.2282
MEM 56.242188 1627511542.3285
MEM 56.242188 1627511542.4288
MEM 56.242188 1627511542.5292
MEM 56.242188 1627511542.6295
MEM 56.242188 1627511542.7300
MEM 56.242188 1627511542.8303
MEM 56.242188 1627511542.9306
MEM 56.242188 1627511543.0309
MEM 56.242188 1627511543.1313
MEM 56.242188 1627511543.2316
MEM 56.242188 1627511543.3320
MEM 56.242188 1627511543.4323
MEM 56.242188 1627511543.5327
MEM 56.242188 1627511543.6330
MEM 56.242188 1627511543.7334
MEM 56.242188 1627511543.8337
MEM 56.242188 1627511543.9341
MEM 56.242188 1627511544.0344
MEM 56.242188 1627511544.1347
MEM 56.242188 1627511544.2351
MEM 56.242188 1627511544.3355
MEM 56.242188 1627511544.4358
MEM 56.242188 1627511544.5361
MEM 56.242188 1627511544.6365
MEM 56.242188 1627511544.7368
MEM 56.242188 1627511544.8372
MEM 56.242188 1627511544.9375
MEM 56.242188 1627511545.0379
MEM 56.242188 1627511545.1382
MEM 56.242188 1627511545.2385
MEM 56.242188 1627511545.3389
MEM 56.242188 1627511545.4392
MEM 56.242188 1627511545.5396
MEM 56.242188 1627511545.6399
MEM 56.242188 1627511545.7403
MEM 56.242188 1627511545.8406
MEM 56.242188 1627511545.9409
MEM 56.242188 1627511546.0412
MEM 56.242188 1627511546.1416
MEM 56.242188 1627511546.2419
MEM 56.242188 1627511546.3422
MEM 56.242188 1627511546.4426
MEM 56.242188 1627511546.5429
MEM 56.476562 1627511546.6432
MEM 56.476562 1627511546.7436
MEM 56.476562 1627511546.8439
MEM 56.476562 1627511546.9442
MEM 56.476562 1627511547.0445
MEM 56.476562 1627511547.1448
MEM 56.476562 1627511547.2452
MEM 56.476562 1627511547.3455
MEM 56.476562 1627511547.4458
MEM 58.507812 1627511547.5462
MEM 58.507812 1627511547.6465
MEM 58.507812 1627511547.7468
MEM 58.507812 1627511547.8479
MEM 58.507812 1627511547.9482
MEM 58.761719 1627511548.0486
MEM 57.558594 1627511548.1490
MEM 57.726562 1627511548.2493
MEM 57.726562 1627511548.3497
