CMDLINE /usr/bin/python3 test.py
MEM 1.195312 1627511749.6428
MEM 19.683594 1627511749.7431
MEM 30.421875 1627511749.8434
MEM 36.429688 1627511749.9449
MEM 43.070312 1627511750.0455
MEM 54.648438 1627511750.1458
MEM 55.089844 1627511750.2462
MEM 55.089844 1627511750.3465
MEM 55.089844 1627511750.4470
MEM 55.089844 1627511750.5473
MEM 55.089844 1627511750.6477
MEM 55.089844 1627511750.7480
MEM 55.089844 1627511750.8484
MEM 55.089844 1627511750.9488
MEM 55.089844 1627511751.0492
MEM 55.089844 1627511751.1496
MEM 55.089844 1627511751.2500
MEM 55.089844 1627511751.3504
MEM 55.089844 1627511751.4507
MEM 55.089844 1627511751.5511
MEM 55.089844 1627511751.6514
MEM 55.089844 1627511751.7518
MEM 55.089844 1627511751.8521
MEM 55.089844 1627511751.9525
MEM 55.089844 1627511752.0528
MEM 55.089844 1627511752.1532
MEM 55.089844 1627511752.2535
MEM 55.089844 1627511752.3539
MEM 55.089844 1627511752.4543
MEM 55.089844 1627511752.5547
MEM 55.089844 1627511752.6551
MEM 55.945312 1627511752.7554
MEM 56.203125 1627511752.8557
MEM 55.414062 1627511752.9561
MEM 55.414062 1627511753.0565
MEM 55.414062 1627511753.1569
MEM 55.414062 1627511753.2572
MEM 55.414062 1627511753.3576
MEM 55.414062 1627511753.4580
MEM 55.414062 1627511753.5584
MEM 55.414062 1627511753.6589
MEM 55.414062 1627511753.7593
MEM 56.179688 1627511753.8596
MEM 56.179688 1627511753.9600
MEM 56.179688 1627511754.0603
MEM 56.179688 1627511754.1607
MEM 56.179688 1627511754.2611
MEM 56.179688 1627511754.3614
MEM 56.179688 1627511754.4617
MEM 56.179688 1627511754.5621
MEM 56.179688 1627511754.6624
MEM 56.179688 1627511754.7630
MEM 56.179688 1627511754.8634
MEM 56.179688 1627511754.9637
MEM 56.179688 1627511755.0641
MEM 56.179688 1627511755.1644
MEM 56.179688 1627511755.2648
MEM 56.179688 1627511755.3651
MEM 56.179688 1627511755.4655
MEM 56.179688 1627511755.5658
MEM 56.179688 1627511755.6662
MEM 56.179688 1627511755.7665
MEM 56.179688 1627511755.8669
MEM 56.179688 1627511755.9672
MEM 56.179688 1627511756.0676
MEM 56.179688 1627511756.1680
MEM 56.179688 1627511756.2683
MEM 56.179688 1627511756.3686
MEM 56.179688 1627511756.4690
MEM 56.179688 1627511756.5693
MEM 56.179688 1627511756.6697
MEM 56.179688 1627511756.7700
MEM 56.179688 1627511756.8704
MEM 56.179688 1627511756.9707
MEM 56.179688 1627511757.0711
MEM 56.179688 1627511757.1714
MEM 56.179688 1627511757.2718
MEM 56.179688 1627511757.3721
MEM 56.179688 1627511757.4725
MEM 56.179688 1627511757.5728
MEM 56.179688 1627511757.6732
MEM 56.179688 1627511757.7735
MEM 56.179688 1627511757.8739
MEM 56.179688 1627511757.9742
MEM 56.179688 1627511758.0745
MEM 56.179688 1627511758.1749
MEM 56.179688 1627511758.2753
MEM 56.179688 1627511758.3756
MEM 56.179688 1627511758.4760
MEM 56.179688 1627511758.5763
MEM 56.179688 1627511758.6766
MEM 56.179688 1627511758.7770
MEM 56.179688 1627511758.8773
MEM 56.179688 1627511758.9777
MEM 56.996094 1627511759.0781
MEM 56.996094 1627511759.1784
MEM 56.996094 1627511759.2787
MEM 56.996094 1627511759.3790
MEM 57.003906 1627511759.4794
MEM 57.257812 1627511759.5797
MEM 57.515625 1627511759.6800
MEM 56.070312 1627511759.7804
MEM 56.324219 1627511759.8814
MEM 56.324219 1627511759.9818
MEM 56.324219 1627511760.0821
MEM 56.324219 1627511760.1825
MEM 56.324219 1627511760.2829
MEM 56.324219 1627511760.3833
MEM 56.324219 1627511760.4837
MEM 56.324219 1627511760.5841
MEM 56.324219 1627511760.6844
MEM 56.324219 1627511760.7848
MEM 56.324219 1627511760.8851
MEM 56.324219 1627511760.9855
MEM 56.324219 1627511761.0859
MEM 56.324219 1627511761.1862
MEM 56.324219 1627511761.2866
MEM 56.324219 1627511761.3870
MEM 56.324219 1627511761.4873
MEM 56.324219 1627511761.5877
MEM 56.324219 1627511761.6880
MEM 56.324219 1627511761.7884
MEM 59.722656 1627511761.8887
MEM 59.722656 1627511761.9891
MEM 59.722656 1627511762.0894
MEM 59.722656 1627511762.1898
MEM 59.722656 1627511762.2901
MEM 59.722656 1627511762.3904
MEM 56.203125 1627511762.4908
MEM 56.457031 1627511762.5911
MEM 56.457031 1627511762.6914
MEM 56.457031 1627511762.7918
MEM 56.457031 1627511762.8921
MEM 56.457031 1627511762.9924
MEM 56.457031 1627511763.0928
MEM 56.457031 1627511763.1931
MEM 56.457031 1627511763.2935
MEM 56.457031 1627511763.3938
MEM 56.457031 1627511763.4942
MEM 56.457031 1627511763.5945
MEM 56.457031 1627511763.6949
MEM 56.457031 1627511763.7952
MEM 56.457031 1627511763.8956
MEM 56.457031 1627511763.9959
MEM 56.457031 1627511764.0963
MEM 56.457031 1627511764.1966
MEM 56.457031 1627511764.2970
MEM 56.457031 1627511764.3973
MEM 56.457031 1627511764.4976
MEM 56.457031 1627511764.5980
MEM 56.457031 1627511764.6983
MEM 56.457031 1627511764.7987
MEM 56.457031 1627511764.8990
MEM 56.457031 1627511764.9995
MEM 56.457031 1627511765.0999
MEM 56.457031 1627511765.2002
MEM 56.457031 1627511765.3006
MEM 56.457031 1627511765.4009
MEM 56.457031 1627511765.5013
MEM 56.457031 1627511765.6017
MEM 56.457031 1627511765.7020
MEM 56.457031 1627511765.8023
MEM 56.457031 1627511765.9027
MEM 56.457031 1627511766.0030
MEM 56.457031 1627511766.1034
MEM 56.457031 1627511766.2037
MEM 60.082031 1627511766.3041
MEM 60.082031 1627511766.4044
MEM 60.082031 1627511766.5047
MEM 60.082031 1627511766.6051
MEM 60.082031 1627511766.7054
MEM 60.082031 1627511766.8057
MEM 56.644531 1627511766.9061
MEM 56.644531 1627511767.0064
MEM 56.644531 1627511767.1068
MEM 56.644531 1627511767.2071
MEM 56.644531 1627511767.3075
MEM 56.644531 1627511767.4078
MEM 56.644531 1627511767.5082
MEM 56.644531 1627511767.6085
MEM 56.644531 1627511767.7088
MEM 56.644531 1627511767.8092
MEM 56.644531 1627511767.9095
MEM 56.644531 1627511768.0098
MEM 56.644531 1627511768.1102
MEM 56.644531 1627511768.2106
MEM 56.644531 1627511768.3110
MEM 56.644531 1627511768.4113
MEM 56.644531 1627511768.5116
MEM 56.644531 1627511768.6120
MEM 56.644531 1627511768.7123
MEM 56.644531 1627511768.8127
MEM 56.644531 1627511768.9130
MEM 56.644531 1627511769.0134
MEM 56.644531 1627511769.1137
MEM 56.644531 1627511769.2141
MEM 56.644531 1627511769.3144
MEM 56.644531 1627511769.4147
MEM 56.644531 1627511769.5151
