CMDLINE /usr/bin/python3 test.py
MEM 0.750000 1627029706.5113
MEM 18.359375 1627029706.6117
MEM 27.605469 1627029706.7120
MEM 35.964844 1627029706.8124
MEM 42.890625 1627029706.9129
MEM 60.257812 1627029707.0132
MEM 60.257812 1627029707.1136
MEM 60.507812 1627029707.2141
MEM 60.507812 1627029707.3144
MEM 60.507812 1627029707.4148
MEM 60.765625 1627029707.5151
MEM 60.765625 1627029707.6155
MEM 60.765625 1627029707.7159
MEM 61.101562 1627029707.8162
MEM 61.101562 1627029707.9166
MEM 61.101562 1627029708.0170
MEM 61.351562 1627029708.1173
MEM 61.351562 1627029708.2178
MEM 61.351562 1627029708.3182
MEM 61.605469 1627029708.4185
MEM 61.605469 1627029708.5189
MEM 61.863281 1627029708.6193
MEM 61.863281 1627029708.7197
MEM 61.863281 1627029708.8201
MEM 62.121094 1627029708.9205
MEM 62.121094 1627029709.0210
MEM 62.121094 1627029709.1214
MEM 62.378906 1627029709.2218
MEM 62.378906 1627029709.3222
MEM 62.636719 1627029709.4225
MEM 62.636719 1627029709.5229
MEM 62.636719 1627029709.6233
FUNC __main__.function_timer 50.1211 1627029706.9890 62.6367 1627029709.6576 0
