CMDLINE /usr/bin/python3 test.py
MEM 1.128906 1627917013.4641
MEM 9.257812 1627917013.5646
MEM 12.351562 1627917013.6650
MEM 14.195312 1627917013.7653
MEM 16.210938 1627917013.8657
MEM 17.109375 1627917013.9661
MEM 18.296875 1627917014.0666
MEM 19.984375 1627917014.1669
MEM 20.527344 1627917014.2673
MEM 21.687500 1627917014.3678
MEM 22.371094 1627917014.4682
MEM 23.402344 1627917014.5686
MEM 23.660156 1627917014.6689
MEM 24.183594 1627917014.7693
MEM 25.011719 1627917014.8697
MEM 28.304688 1627917014.9701
MEM 35.878906 1627917015.0705
MEM 36.761719 1627917015.1709
MEM 36.890625 1627917015.2713
MEM 38.738281 1627917015.3717
MEM 40.898438 1627917015.4722
MEM 42.222656 1627917015.5730
MEM 43.093750 1627917015.6734
MEM 44.984375 1627917015.7738
MEM 46.339844 1627917015.8741
MEM 48.554688 1627917015.9745
MEM 50.238281 1627917016.0749
MEM 51.648438 1627917016.1757
MEM 53.582031 1627917016.2761
MEM 60.351562 1627917016.3764
MEM 63.320312 1627917016.4770
MEM 67.058594 1627917016.5774
MEM 71.929688 1627917016.6777
MEM 75.121094 1627917016.7781
MEM 79.371094 1627917016.8785
MEM 83.386719 1627917016.9789
MEM 86.894531 1627917017.0793
MEM 90.894531 1627917017.1797
MEM 92.957031 1627917017.2801
MEM 97.375000 1627917017.3805
MEM 101.644531 1627917017.4809
MEM 105.375000 1627917017.5814
MEM 108.855469 1627917017.6818
MEM 113.191406 1627917017.7822
MEM 117.628906 1627917017.8826
MEM 122.128906 1627917017.9830
MEM 123.125000 1627917018.0834
MEM 127.386719 1627917018.1838
MEM 131.675781 1627917018.2842
MEM 133.136719 1627917018.3845
MEM 133.625000 1627917018.4849
MEM 133.875000 1627917018.5854
MEM 134.125000 1627917018.6858
MEM 134.375000 1627917018.7862
MEM 134.625000 1627917018.8865
MEM 134.875000 1627917018.9869
MEM 135.375000 1627917019.0873
MEM 135.625000 1627917019.1877
MEM 135.875000 1627917019.2880
MEM 136.125000 1627917019.3884
MEM 136.125000 1627917019.4887
MEM 136.375000 1627917019.5891
MEM 136.625000 1627917019.6895
MEM 136.875000 1627917019.7898
MEM 137.125000 1627917019.8902
MEM 137.375000 1627917019.9906
MEM 137.625000 1627917020.0909
MEM 137.875000 1627917020.1913
MEM 137.875000 1627917020.2917
MEM 138.125000 1627917020.3920
MEM 138.375000 1627917020.4924
MEM 138.625000 1627917020.5927
MEM 138.625000 1627917020.6931
MEM 138.875000 1627917020.7934
MEM 139.125000 1627917020.8938
MEM 139.375000 1627917020.9941
MEM 139.375000 1627917021.0945
MEM 139.625000 1627917021.1949
MEM 139.875000 1627917021.2952
MEM 139.875000 1627917021.3956
MEM 140.125000 1627917021.4960
MEM 140.375000 1627917021.5963
MEM 140.375000 1627917021.6967
MEM 140.625000 1627917021.7970
MEM 140.875000 1627917021.8974
MEM 140.875000 1627917021.9977
MEM 141.125000 1627917022.0981
MEM 141.375000 1627917022.1985
MEM 141.375000 1627917022.2989
MEM 141.625000 1627917022.3992
MEM 141.875000 1627917022.4996
MEM 141.875000 1627917022.5999
MEM 142.125000 1627917022.7003
MEM 142.125000 1627917022.8006
MEM 142.375000 1627917022.9010
MEM 142.625000 1627917023.0014
MEM 142.625000 1627917023.1017
MEM 142.875000 1627917023.2021
MEM 143.125000 1627917023.3024
MEM 143.125000 1627917023.4029
MEM 143.125000 1627917023.5032
MEM 143.375000 1627917023.6036
MEM 143.375000 1627917023.7042
MEM 143.625000 1627917023.8046
MEM 143.875000 1627917023.9049
MEM 143.875000 1627917024.0053
MEM 144.125000 1627917024.1056
MEM 144.125000 1627917024.2060
MEM 144.375000 1627917024.3064
MEM 144.625000 1627917024.4067
MEM 144.625000 1627917024.5071
MEM 144.875000 1627917024.6074
MEM 145.125000 1627917024.7078
MEM 145.125000 1627917024.8081
MEM 145.375000 1627917024.9085
MEM 145.625000 1627917025.0088
MEM 145.625000 1627917025.1092
MEM 145.875000 1627917025.2096
MEM 146.125000 1627917025.3099
MEM 146.125000 1627917025.4102
MEM 146.375000 1627917025.5106
MEM 146.625000 1627917025.6109
MEM 146.625000 1627917025.7113
MEM 146.875000 1627917025.8117
MEM 147.125000 1627917025.9121
MEM 147.375000 1627917026.0124
MEM 147.375000 1627917026.1128
MEM 147.625000 1627917026.2131
MEM 147.875000 1627917026.3135
MEM 148.125000 1627917026.4138
MEM 148.125000 1627917026.5142
MEM 148.375000 1627917026.6146
MEM 148.625000 1627917026.7149
MEM 148.875000 1627917026.8153
MEM 149.125000 1627917026.9156
MEM 149.125000 1627917027.0160
MEM 149.375000 1627917027.1163
MEM 149.625000 1627917027.2167
MEM 149.875000 1627917027.3170
MEM 150.125000 1627917027.4174
MEM 150.375000 1627917027.5177
MEM 150.625000 1627917027.6181
MEM 150.875000 1627917027.7184
MEM 151.125000 1627917027.8188
MEM 151.375000 1627917027.9191
MEM 151.625000 1627917028.0195
MEM 152.125000 1627917028.1197
MEM 152.375000 1627917028.2201
MEM 152.625000 1627917028.3204
MEM 153.125000 1627917028.4208
MEM 154.890625 1627917028.5212
MEM 155.128906 1627917028.6216
MEM 155.628906 1627917028.7220
MEM 156.128906 1627917028.8227
MEM 156.628906 1627917028.9230
MEM 156.878906 1627917029.0234
MEM 157.378906 1627917029.1238
MEM 157.878906 1627917029.2241
MEM 158.378906 1627917029.3245
MEM 158.878906 1627917029.4249
MEM 159.132812 1627917029.5253
MEM 159.390625 1627917029.6256
MEM 159.648438 1627917029.7260
MEM 159.906250 1627917029.8264
MEM 159.906250 1627917029.9268
MEM 160.164062 1627917030.0272
MEM 160.421875 1627917030.1277
MEM 160.679688 1627917030.2281
MEM 160.937500 1627917030.3284
MEM 161.195312 1627917030.4288
MEM 161.453125 1627917030.5292
MEM 161.710938 1627917030.6296
MEM 161.968750 1627917030.7300
MEM 162.226562 1627917030.8303
MEM 162.484375 1627917030.9307
MEM 162.742188 1627917031.0311
MEM 163.000000 1627917031.1314
MEM 163.000000 1627917031.2318
MEM 163.000000 1627917031.3322
MEM 163.000000 1627917031.4325
MEM 163.000000 1627917031.5329
MEM 163.000000 1627917031.6333
MEM 163.000000 1627917031.7337
MEM 163.000000 1627917031.8341
MEM 163.000000 1627917031.9344
MEM 163.000000 1627917032.0348
MEM 163.000000 1627917032.1352
MEM 163.000000 1627917032.2356
MEM 163.000000 1627917032.3361
MEM 163.000000 1627917032.4364
MEM 163.000000 1627917032.5368
MEM 163.000000 1627917032.6372
MEM 163.000000 1627917032.7375
MEM 163.000000 1627917032.8379
MEM 163.000000 1627917032.9387
MEM 163.000000 1627917033.0390
MEM 163.000000 1627917033.1394
MEM 163.000000 1627917033.2398
MEM 163.000000 1627917033.3405
MEM 163.000000 1627917033.4409
MEM 163.000000 1627917033.5413
MEM 163.000000 1627917033.6417
MEM 163.000000 1627917033.7422
MEM 163.000000 1627917033.8426
MEM 163.000000 1627917033.9432
MEM 163.000000 1627917034.0437
MEM 163.000000 1627917034.1441
MEM 163.000000 1627917034.2445
MEM 163.000000 1627917034.3449
MEM 163.000000 1627917034.4453
MEM 163.000000 1627917034.5457
MEM 163.000000 1627917034.6460
MEM 163.000000 1627917034.7464
