CMDLINE /usr/bin/python3 test.py
MEM 1.136719 1627029724.5853
MEM 18.757812 1627029724.6857
MEM 27.839844 1627029724.7861
MEM 36.234375 1627029724.8864
MEM 42.867188 1627029724.9869
MEM 60.269531 1627029725.0873
MEM 60.269531 1627029725.1876
MEM 60.523438 1627029725.2881
MEM 60.523438 1627029725.3886
MEM 60.523438 1627029725.4890
MEM 60.781250 1627029725.5895
MEM 60.781250 1627029725.6898
MEM 60.781250 1627029725.7904
MEM 61.113281 1627029725.8908
MEM 61.113281 1627029725.9912
MEM 61.113281 1627029726.0916
MEM 61.363281 1627029726.1920
MEM 61.363281 1627029726.2925
MEM 61.363281 1627029726.3929
MEM 61.617188 1627029726.4933
MEM 61.617188 1627029726.5937
MEM 61.875000 1627029726.6941
MEM 61.875000 1627029726.7946
MEM 61.875000 1627029726.8950
MEM 62.132812 1627029726.9953
MEM 62.132812 1627029727.0958
MEM 62.132812 1627029727.1962
MEM 62.390625 1627029727.2967
MEM 62.390625 1627029727.3971
MEM 62.613281 1627029727.4974
MEM 62.613281 1627029727.5978
MEM 62.613281 1627029727.6982
MEM 62.867188 1627029727.7986
MEM 62.867188 1627029727.8990
MEM 63.234375 1627029727.9994
MEM 63.792969 1627029728.0999
MEM 63.792969 1627029728.2004
MEM 65.851562 1627029728.3057
MEM 65.851562 1627029728.4061
MEM 63.574219 1627029728.5066
MEM 63.574219 1627029728.6070
MEM 63.574219 1627029728.7075
MEM 63.574219 1627029728.8080
MEM 63.574219 1627029728.9084
MEM 63.574219 1627029729.0088
MEM 63.574219 1627029729.1092
MEM 63.574219 1627029729.2096
MEM 63.574219 1627029729.3100
MEM 63.574219 1627029729.4104
MEM 63.574219 1627029729.5107
MEM 63.886719 1627029729.6112
MEM 63.886719 1627029729.7117
MEM 63.886719 1627029729.8122
MEM 64.140625 1627029729.9126
MEM 64.140625 1627029730.0129
MEM 64.140625 1627029730.1133
MEM 64.386719 1627029730.2137
MEM 64.386719 1627029730.3140
MEM 64.640625 1627029730.4144
MEM 64.640625 1627029730.5148
MEM 64.640625 1627029730.6151
MEM 64.898438 1627029730.7155
MEM 64.898438 1627029730.8158
MEM 64.898438 1627029730.9162
MEM 65.156250 1627029731.0166
MEM 65.156250 1627029731.1170
MEM 65.156250 1627029731.2174
MEM 65.414062 1627029731.3177
MEM 65.414062 1627029731.4182
MEM 65.890625 1627029731.5186
MEM 65.890625 1627029731.6191
MEM 65.890625 1627029731.7195
MEM 64.097656 1627029731.8200
MEM 64.097656 1627029731.9204
MEM 64.097656 1627029732.0208
MEM 64.097656 1627029732.1211
MEM 64.097656 1627029732.2215
MEM 64.097656 1627029732.3219
MEM 64.097656 1627029732.4223
MEM 64.097656 1627029732.5226
MEM 64.097656 1627029732.6230
MEM 64.097656 1627029732.7234
