CMDLINE /usr/bin/python3 test.py
MEM 1.132812 1627029664.9374
MEM 18.257812 1627029665.0378
MEM 26.558594 1627029665.1381
MEM 34.847656 1627029665.2385
MEM 36.824219 1627029665.3389
MEM 37.046875 1627029665.4392
MEM 37.113281 1627029665.5396
MEM 37.277344 1627029665.6399
MEM 39.652344 1627029665.7404
MEM 40.972656 1627029665.8408
MEM 42.042969 1627029665.9412
MEM 43.160156 1627029666.0416
MEM 43.644531 1627029666.1419
MEM 45.765625 1627029666.2424
MEM 46.976562 1627029666.3428
MEM 48.906250 1627029666.4431
MEM 50.097656 1627029666.5435
MEM 60.414062 1627029666.6439
MEM 60.414062 1627029666.7443
MEM 60.660156 1627029666.8447
MEM 60.660156 1627029666.9451
MEM 60.660156 1627029667.0454
MEM 60.917969 1627029667.1458
MEM 60.917969 1627029667.2462
MEM 61.175781 1627029667.3465
MEM 61.261719 1627029667.4469
MEM 61.261719 1627029667.5474
MEM 61.261719 1627029667.6478
MEM 61.511719 1627029667.7482
MEM 61.511719 1627029667.8485
MEM 61.765625 1627029667.9489
MEM 61.765625 1627029668.0494
MEM 61.765625 1627029668.1498
MEM 62.023438 1627029668.2501
MEM 62.023438 1627029668.3505
MEM 62.023438 1627029668.4509
MEM 62.281250 1627029668.5514
MEM 62.281250 1627029668.6517
MEM 62.539062 1627029668.7521
MEM 62.539062 1627029668.8525
MEM 62.539062 1627029668.9529
MEM 62.796875 1627029669.0534
MEM 62.796875 1627029669.1537
MEM 62.796875 1627029669.2541
MEM 63.054688 1627029669.3545
MEM 63.054688 1627029669.4548
MEM 63.261719 1627029669.5554
MEM 63.875000 1627029669.6558
MEM 63.875000 1627029669.7562
MEM 63.660156 1627029669.8567
MEM 63.660156 1627029669.9571
MEM 63.660156 1627029670.0611
MEM 63.660156 1627029670.1614
MEM 63.660156 1627029670.2618
MEM 63.660156 1627029670.3622
MEM 63.660156 1627029670.4625
MEM 63.660156 1627029670.5630
MEM 63.660156 1627029670.6634
MEM 63.660156 1627029670.7638
MEM 63.914062 1627029670.8643
MEM 63.914062 1627029670.9646
MEM 63.914062 1627029671.0650
MEM 64.171875 1627029671.1654
MEM 64.222656 1627029671.2658
MEM 64.222656 1627029671.3662
MEM 64.472656 1627029671.4665
MEM 64.472656 1627029671.5669
MEM 64.472656 1627029671.6673
MEM 64.726562 1627029671.7677
MEM 64.726562 1627029671.8681
MEM 64.726562 1627029671.9685
MEM 64.984375 1627029672.0689
MEM 64.984375 1627029672.1693
MEM 65.222656 1627029672.2696
MEM 65.222656 1627029672.3700
MEM 65.222656 1627029672.4704
MEM 65.476562 1627029672.5708
MEM 65.476562 1627029672.6712
MEM 65.722656 1627029672.7716
MEM 65.976562 1627029672.8720
MEM 65.976562 1627029672.9728
MEM 64.183594 1627029673.0732
MEM 64.183594 1627029673.1735
MEM 64.183594 1627029673.2739
MEM 64.183594 1627029673.3743
MEM 64.183594 1627029673.4747
MEM 64.183594 1627029673.5751
MEM 64.183594 1627029673.6754
MEM 64.183594 1627029673.7758
MEM 64.183594 1627029673.8762
MEM 64.183594 1627029673.9766
MEM 64.183594 1627029674.0769
MEM 64.183594 1627029674.1773
MEM 64.183594 1627029674.2777
MEM 64.183594 1627029674.3781
MEM 64.242188 1627029674.4784
MEM 64.242188 1627029674.5789
MEM 64.492188 1627029674.6793
MEM 64.492188 1627029674.7798
MEM 64.492188 1627029674.8802
MEM 64.492188 1627029674.9805
MEM 64.746094 1627029675.0810
MEM 64.746094 1627029675.1815
MEM 64.746094 1627029675.2818
MEM 65.003906 1627029675.3822
MEM 65.003906 1627029675.4826
MEM 65.242188 1627029675.5830
MEM 65.242188 1627029675.6834
MEM 65.242188 1627029675.7838
MEM 65.496094 1627029675.8842
MEM 65.496094 1627029675.9845
MEM 65.742188 1627029676.0850
MEM 65.992188 1627029676.1855
MEM 65.992188 1627029676.2859
MEM 64.679688 1627029676.3864
MEM 64.679688 1627029676.4867
MEM 64.679688 1627029676.5872
MEM 64.679688 1627029676.6876
MEM 64.679688 1627029676.7880
MEM 64.679688 1627029676.8884
MEM 64.679688 1627029676.9887
MEM 64.679688 1627029677.0892
MEM 64.679688 1627029677.1896
MEM 64.679688 1627029677.2900
MEM 64.679688 1627029677.3904
MEM 64.679688 1627029677.4907
MEM 64.679688 1627029677.5912
MEM 64.679688 1627029677.6916
MEM 64.679688 1627029677.7920
MEM 64.679688 1627029677.8924
MEM 64.679688 1627029677.9927
MEM 64.679688 1627029678.0932
MEM 64.679688 1627029678.1936
MEM 64.679688 1627029678.2939
MEM 64.679688 1627029678.3943
MEM 64.933594 1627029678.4947
MEM 64.933594 1627029678.5951
MEM 65.191406 1627029678.6956
MEM 65.191406 1627029678.7960
MEM 65.191406 1627029678.8963
MEM 65.449219 1627029678.9967
MEM 65.449219 1627029679.0971
MEM 65.449219 1627029679.1975
MEM 65.742188 1627029679.2979
MEM 65.996094 1627029679.3983
MEM 65.996094 1627029679.4987
MEM 65.996094 1627029679.5995
MEM 65.996094 1627029679.6998
MEM 65.183594 1627029679.8004
MEM 65.183594 1627029679.9007
MEM 65.183594 1627029680.0011
MEM 65.183594 1627029680.1015
MEM 65.183594 1627029680.2018
MEM 65.183594 1627029680.3024
MEM 65.183594 1627029680.4027
MEM 65.183594 1627029680.5031
MEM 65.183594 1627029680.6035
MEM 65.183594 1627029680.7038
MEM 65.183594 1627029680.8042
MEM 65.183594 1627029680.9046
MEM 65.183594 1627029681.0049
MEM 65.183594 1627029681.1053
MEM 65.183594 1627029681.2057
MEM 65.183594 1627029681.3060
MEM 65.183594 1627029681.4064
MEM 65.183594 1627029681.5067
MEM 65.183594 1627029681.6072
MEM 65.183594 1627029681.7075
MEM 65.183594 1627029681.8079
MEM 65.183594 1627029681.9083
MEM 65.183594 1627029682.0087
MEM 65.183594 1627029682.1090
MEM 65.183594 1627029682.2094
MEM 65.183594 1627029682.3098
MEM 65.183594 1627029682.4101
MEM 65.437500 1627029682.5105
MEM 65.437500 1627029682.6109
MEM 65.437500 1627029682.7113
MEM 65.742188 1627029682.8116
MEM 65.996094 1627029682.9124
MEM 65.996094 1627029683.0129
MEM 65.691406 1627029683.1133
MEM 65.691406 1627029683.2137
MEM 65.691406 1627029683.3141
MEM 65.691406 1627029683.4144
MEM 65.691406 1627029683.5148
MEM 65.691406 1627029683.6151
MEM 65.691406 1627029683.7155
MEM 65.691406 1627029683.8158
MEM 65.691406 1627029683.9162
MEM 65.691406 1627029684.0165
MEM 65.691406 1627029684.1170
MEM 65.691406 1627029684.2174
MEM 65.691406 1627029684.3177
MEM 65.691406 1627029684.4181
MEM 65.691406 1627029684.5185
MEM 65.691406 1627029684.6190
MEM 65.691406 1627029684.7194
MEM 65.691406 1627029684.8197
MEM 65.691406 1627029684.9201
MEM 65.691406 1627029685.0205
MEM 65.691406 1627029685.1209
MEM 65.691406 1627029685.2213
MEM 65.691406 1627029685.3217
MEM 65.691406 1627029685.4222
MEM 65.691406 1627029685.5226
MEM 65.691406 1627029685.6230
MEM 65.691406 1627029685.7234
MEM 65.691406 1627029685.8238
MEM 65.691406 1627029685.9242
MEM 65.691406 1627029686.0246
MEM 66.000000 1627029686.1251
MEM 66.000000 1627029686.2255
MEM 65.937500 1627029686.3263
MEM 65.937500 1627029686.4266
MEM 65.937500 1627029686.5271
MEM 65.937500 1627029686.6276
MEM 65.937500 1627029686.7279
MEM 65.937500 1627029686.8283
MEM 65.937500 1627029686.9287
MEM 65.937500 1627029687.0291
MEM 65.937500 1627029687.1296
MEM 65.937500 1627029687.2300
MEM 65.937500 1627029687.3304
MEM 65.937500 1627029687.4308
MEM 65.937500 1627029687.5312
MEM 65.937500 1627029687.6316
MEM 65.937500 1627029687.7320
MEM 65.937500 1627029687.8324
MEM 65.937500 1627029687.9327
MEM 65.937500 1627029688.0331
MEM 65.937500 1627029688.1336
MEM 65.937500 1627029688.2340
MEM 65.937500 1627029688.3343
MEM 65.937500 1627029688.4347
MEM 65.937500 1627029688.5351
MEM 65.937500 1627029688.6356
MEM 65.937500 1627029688.7359
MEM 65.937500 1627029688.8363
MEM 65.937500 1627029688.9367
MEM 65.937500 1627029689.0371
MEM 65.937500 1627029689.1374
MEM 65.937500 1627029689.2378
MEM 65.937500 1627029689.3383
MEM 65.937500 1627029689.4388
MEM 65.937500 1627029689.5392
MEM 65.937500 1627029689.6397
MEM 65.937500 1627029689.7402
MEM 65.937500 1627029689.8406
MEM 65.937500 1627029689.9410
MEM 65.937500 1627029690.0413
MEM 65.937500 1627029690.1417
MEM 65.937500 1627029690.2421
MEM 66.191406 1627029690.3425
MEM 66.191406 1627029690.4428
MEM 66.191406 1627029690.5433
MEM 66.191406 1627029690.6437
MEM 66.191406 1627029690.7440
MEM 66.191406 1627029690.8444
MEM 66.191406 1627029690.9449
MEM 66.191406 1627029691.0453
MEM 66.191406 1627029691.1457
MEM 66.191406 1627029691.2461
MEM 66.191406 1627029691.3464
MEM 66.191406 1627029691.4468
MEM 66.191406 1627029691.5471
MEM 66.191406 1627029691.6475
MEM 66.191406 1627029691.7479
MEM 66.191406 1627029691.8483
MEM 66.191406 1627029691.9486
MEM 66.191406 1627029692.0490
MEM 66.191406 1627029692.1494
MEM 66.191406 1627029692.2498
MEM 66.191406 1627029692.3501
MEM 66.191406 1627029692.4505
MEM 66.191406 1627029692.5509
MEM 66.191406 1627029692.6513
MEM 66.191406 1627029692.7517
MEM 66.191406 1627029692.8521
MEM 66.191406 1627029692.9525
MEM 66.000000 1627029693.0529
MEM 66.000000 1627029693.1533
MEM 66.000000 1627029693.2537
MEM 66.000000 1627029693.3540
MEM 66.000000 1627029693.4544
MEM 66.000000 1627029693.5548
MEM 66.000000 1627029693.6552
MEM 66.000000 1627029693.7555
MEM 66.000000 1627029693.8559
FUNC __main__.function_timer 50.0977 1627029666.5493 66.0000 1627029693.9170 0
